"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_or_1734_Treatment plant-2024-04-27","2024-04-27","ID:1734","Insufficient Data","0","Insufficient Data","Lane","Oregon","44.111832","-123.172247","#cccccc","#cccccc"
"NWSS_or_1746_Treatment plant-2024-04-27","2024-04-27","ID:1746","Insufficient Data","0","Insufficient Data","Polk","Oregon","44.998784","-123.199156","#cccccc","#cccccc"
"NWSS_wv_2084_Treatment plant-2024-04-27","2024-04-27","ID:2084","Insufficient Data","0","Insufficient Data","Marion","West Virginia","39.545542999999995","-80.24419999999999","#cccccc","#cccccc"
"CDC_VERILY_nc_1504_Treatment plant-2024-04-27","2024-04-27","ID:1504","Insufficient Data","0","Insufficient Data","Watauga","North Carolina","36.232476","-81.69166399999999","#cccccc","#cccccc"
"NWSS_wa_2056_Treatment plant-2024-04-27","2024-04-27","ID:2056","Insufficient Data","0","Insufficient Data","Snohomish","Washington","47.823318","-122.336701","#cccccc","#cccccc"
"NWSS_ca_108_Treatment plant-2024-04-27","2024-04-27","ID:108-C","0.0","1","Minimal","Kings","California","36.214588","-119.71112","#1a6e6b","#82cec2"
"NWSS_il_459_Treatment plant-2024-04-27","2024-04-27","ID:459","0.0","1","Minimal","Lee","Illinois","41.799549","-89.426316","#1a6e6b","#82cec2"
"NWSS_wv_2086_Treatment plant-2024-04-27","2024-04-27","ID:2086","Insufficient Data","0","Insufficient Data","Marshall","West Virginia","39.916308","-80.742014","#cccccc","#cccccc"
"NWSS_il_418_Treatment plant-2024-04-27","2024-04-27","ID:418","54.55","6","Moderate","Cook","Illinois","41.700031","-87.97304799999999","#d0a0d6","#51b2cd"
"NWSS_oh_1514_Treatment plant-2024-04-27","2024-04-27","ID:1514","0.0","1","Minimal","Athens","Ohio","39.330839","-82.011003","#1a6e6b","#82cec2"
"NWSS_oh_1691_Treatment plant-2024-04-27","2024-04-27","ID:1691","0.0","1","Minimal","Wood","Ohio","41.387889","-83.60643400000001","#1a6e6b","#82cec2"
"WWS_va_2005_Treatment plant-2024-04-27","2024-04-27","ID:2005-B","0.0","1","Minimal","Stafford","Virginia","38.427838","-77.4362","#1a6e6b","#82cec2"
"NWSS_wi_2141_Treatment plant-2024-04-27","2024-04-27","ID:2141","Insufficient Data","0","Insufficient Data","Milwaukee, Ozaukee","Wisconsin","42.971715","-87.898602","#cccccc","#cccccc"
